venue.id,mean,sd,park_effect,park_effect_halved,park_effect_p_1sd,park_effect_m_1sd,park_effect_halved_m_1sd,park_effect_halved_p_1sd,venue.name,years,level,year,teams.home.team.id,teams.home.team.name,level_num
2510,1.5963583201193956,1.5921370021830865,118,109,154,83,91,127,Estadio Jose Bernardo Perez,4,Winter League,2019,696,Navegantes del Magallanes,17
2951,1.73426111416339,0.6125665680993976,118,109,130,105,103,115,Parque Lic. Eduardo Vasconcelos,5,Triple-A,2019,579,Guerreros de Oaxaca,11
4669,1.7621382987693084,0.37767176101670313,118,109,125,110,105,113,Southwest University Park,5,Triple-A,2019,4904,El Paso Chihuahuas,11
2510,1.55885225700071,0.7283609631600028,118,109,134,101,101,117,Estadio Jose Bernardo Perez,5,Winter League,2019,696,Navegantes del Magallanes,17
3074,1.6244039082299973,1.4041515860295541,117,109,147,88,94,123,Emilio Ibarra Almada,1,Winter League,2010,675,Caneros de los Mochis,17
2859,1.5448912599835496,0.6186206192029031,117,109,131,104,102,115,Volcanoes Stadium,1,Class A Short Season,2011,578,Salem-Keizer Volcanoes,15
4213,1.5707723267329008,1.3756435710120107,117,108,145,88,94,123,Norwood Oval,1,Winter League,2011,4064,Adelaide Bite,17
2859,1.4826002653531614,0.476329420676215,117,108,127,106,103,114,Volcanoes Stadium,2,Class A Short Season,2012,578,Salem-Keizer Volcanoes,15
2524,1.5936462649517098,0.806522482609998,117,108,134,100,100,117,Phoenix Municipal Stadium,2,Winter League,2012,454,Phoenix Desert Dogs,17
2772,1.724104643206485,1.321475609143305,117,109,143,91,96,122,Spring Mobile Ballpark,3,Triple-A,2012,561,Salt Lake Bees,11
2603,1.66579440767574,0.6870389788301301,117,109,131,103,102,115,Surprise Stadium,3,Rookie,2012,412,AZL Royals,16
2603,1.5689328559849307,0.5424970778234103,117,108,128,105,103,114,Surprise Stadium,3,Winter League,2012,542,Surprise Saguaros,17
2835,1.5439929760807638,0.5312327328130574,117,108,128,106,103,114,Recreation Park,1,Class A Advanced,2013,516,Visalia Rawhide,13
2859,1.3345198860824663,0.5426693663353005,117,108,130,103,102,115,Volcanoes Stadium,1,Class A Short Season,2013,578,Salem-Keizer Volcanoes,15
2500,1.520825181756098,1.0107799961199946,117,108,138,95,98,119,Tempe Diablo Stadium,1,Rookie,2013,404,AZL Angels,16
2603,1.5176930389672205,1.2426864133765798,117,109,145,90,95,122,Surprise Stadium,1,Winter League,2013,490,Peoria Javelinas,17
2846,1.7516466792831613,1.9040979027045455,117,109,154,80,90,127,Security Service Field,1,Rookie Advanced,2013,551,Colorado Springs Sky Sox,5442
2510,1.6025905661533046,0.7438265708449796,117,109,133,102,101,117,Estadio Jose Bernardo Perez,2,Winter League,2013,696,Navegantes del Magallanes,17
3834,1.607817900578021,0.5585059128595519,117,108,128,105,103,114,Goodyear Ballpark,3,Rookie,2013,2770,AZL Indians,16
2825,1.858537000023906,1.5314935739942073,117,109,145,89,95,123,Home of the OWLZ,3,Rookie Advanced,2013,519,Orem Owlz,5442
3470,1.8176668393610373,1.5689654861336393,117,108,146,88,94,123,Melaleuca Field,3,Rookie Advanced,2013,444,Idaho Falls Chukars,5442
2810,1.4630285420763853,0.3790730719970718,117,108,125,108,104,113,Memorial Stadium,4,Class A Short Season,2013,480,Boise Hawks,15
2510,1.5904801893290772,1.0856210828903188,117,109,140,94,97,120,Estadio Jose Bernardo Perez,4,Winter League,2013,696,Navegantes del Magallanes,17
2603,1.596840625362442,1.0593532801937233,117,109,139,95,97,120,Surprise Stadium,4,Winter League,2013,490,Peoria Javelinas,17
2869,1.5984760920996437,1.057382010090789,117,108,138,95,98,119,Estadio Hermanos Serdan,1,Triple-A,2014,520,Pericos de Puebla,11
2503,1.6830207652611964,1.0785597478282016,117,109,139,96,98,120,Cashman Field,2,Triple-A,2014,400,Las Vegas 51s,11
2956,1.6389627638313564,1.1462835864632783,117,108,140,94,97,120,Estadio de la Revolucion,2,Triple-A,2014,447,Vaqueros de la Laguna,11
3029,1.5461555143660384,0.55603701532504,117,108,129,105,102,114,Estadio Universitario,3,Winter League,2014,695,Leones del Caracas,17
2825,1.76719303453187,0.5464230169742493,117,108,127,107,103,113,Home of the OWLZ,4,Rookie Advanced,2014,519,Orem Owlz,5442
3470,1.767463228376329,0.5126622285658071,117,108,126,107,104,113,Melaleuca Field,5,Rookie Advanced,2014,444,Idaho Falls Chukars,5442
2956,1.5230688559107952,1.327079564514158,117,108,145,88,94,123,Estadio de la Revolucion,1,Triple-A,2015,447,Vaqueros de la Laguna,11
2755,1.4622164978073298,0.7949622478103712,117,109,136,99,99,118,Dr Pepper Ballpark,1,Double-A,2015,540,Frisco RoughRiders,12
2768,1.4560684154792765,0.8007815225195991,117,109,136,99,99,118,Security Bank Ballpark,1,Double-A,2015,237,Midland RockHounds,12
4710,1.4577846659024993,0.731430047620283,117,108,133,100,100,117,Estadio Panamericano,1,Winter League,2015,674,Charros de Jalisco,17
2503,1.5898737067699211,1.316755887810664,117,108,144,89,95,122,Cashman Field,2,Triple-A,2015,400,Las Vegas 51s,11
4212,1.5467423035192545,0.9534258153339785,117,109,139,96,98,119,Narrabundah Ballpark,2,Winter League,2015,4066,Canberra Cavalry,17
2503,1.6027467577312828,0.39856148032564104,117,108,125,109,104,113,Cashman Field,3,Triple-A,2015,400,Las Vegas 51s,11
2500,1.5188655857446973,0.8583664722123068,117,108,136,98,99,118,Tempe Diablo Stadium,3,Rookie,2015,404,AZL Angels,16
2510,1.5588377414846037,0.8555290145539106,117,109,136,99,99,118,Estadio Jose Bernardo Perez,4,Winter League,2015,696,Navegantes del Magallanes,17
4350,1.7869837013444618,0.5241712965802485,117,109,127,107,104,114,Suplizio Field,4,Rookie Advanced,2015,4364,Grand Junction Rockies,5442
2825,1.784139711137286,0.519011165847903,117,108,127,107,104,113,Home of the OWLZ,5,Rookie Advanced,2015,519,Orem Owlz,5442
3029,1.4834391306502597,1.485623929153205,117,109,151,83,92,126,Estadio Universitario,1,Winter League,2016,698,Tiburones de La Guaira,17
2510,1.4880787891073846,1.369047065672815,117,109,148,86,93,124,Estadio Jose Bernardo Perez,2,Winter League,2016,696,Navegantes del Magallanes,17
2953,1.6122385708329927,0.4274280238129842,117,109,126,108,104,113,Parque Francisco I. Madero,3,Triple-A,2016,502,Saraperos de Saltillo,11
4611,1.4894860547986186,0.34009762418326317,117,109,125,109,105,112,Holloway Field,3,Winter League,2016,4065,Brisbane Bandits,17
2802,1.7482833964262636,0.5734893306250048,117,108,127,106,103,114,Lindquist Field,3,Rookie Advanced,2016,530,Ogden Raptors,5442
4350,1.7224988588319206,0.5227401798920407,117,108,127,107,103,113,Suplizio Field,4,Rookie Advanced,2016,4364,Grand Junction Rockies,5442
2510,1.5630028758220538,0.3851991545169222,117,109,126,109,104,113,Estadio Jose Bernardo Perez,5,Winter League,2016,696,Navegantes del Magallanes,17
2772,1.6235356189146326,0.5857274154767379,117,109,129,105,103,115,Smith's Ballpark,1,Triple-A,2017,561,Salt Lake Bees,11
